POINT;TYPE_CODE;PAS
02663386371069;CDC;PT30M
04153690268413;CDC;PT30M
04321997090613;CDC;PT30M
04558900111600;CDC;PT30M
05134442782695;CDC;PT30M
06425180872801;CDC;PT30M
06514182327746;CDC;PT30M
07148769841719;CDC;PT30M
07183067970867;CDC;PT30M
07329522363120;CDC;PT30M
07414471719145;CDC;PT30M
07496237331368;CDC;PT30M
09341533948617;CDC;PT30M
09398118639916;CDC;PT30M
09641389256308;CDC;PT30M
12225759761559;CDC;PT10M
12428075206542;CDC;PT30M
12437047754612;CDC;PT30M
14221852289501;CDC;PT30M
14275976745742;CDC;PT30M
14821562828253;CDC;PT30M
15260926185728;CDC;PT30M
16111866750140;CDC;PT30M
16168017334012;CDC;PT30M
16172214083489;CDC;PT30M
16350072354066;CDC;PT10M
16496526730405;CDC;PT30M
17175108422640;CDC;PT30M
17252387837235;CDC;PT30M
17318234415303;CDC;PT30M
17988422553174;CDC;PT30M
19313024529830;CDC;PT10M
19323154770868;CDC;PT10M
19340810347510;CDC;PT10M
19342546956219;CDC;PT30M
19357742330668;CDC;PT10M
19392619337093;CDC;PT30M
19459768421338;CDC;PT30M
19537481841932;CDC;PT10M
19631114271000;CDC;PT10M
19653256136227;CDC;PT30M
21190014357319;CDC;PT30M
21219681508732;CDC;PT30M
21314326928377;CDC;PT30M
21361504978091;CDC;PT30M
22160636649640;CDC;PT30M
22170911610930;CDC;PT30M
22194790103465;CDC;PT30M
22306367440877;CDC;PT30M
22421852298063;CDC;PT30M
22514037603260;CDC;PT30M
23147033197914;CDC;PT30M
23158465890698;CDC;PT30M
23207525244090;CDC;PT10M
24145441356567;CDC;PT30M
24149059301335;CDC;PT30M
24161794467024;CDC;PT30M
24238494883608;CDC;PT30M
24248046269190;CDC;PT10M
24377134512217;CDC;PT30M
24545441346990;CDC;PT30M
25170477499165;CDC;PT30M
25255571621785;CDC;PT30M
25328364505136;CDC;PT30M
25357887026230;CDC;PT30M
25397973895590;CDC;PT30M
25492619264744;CDC;PT30M
25843270572006;CDC;PT30M
25863820549839;CDC;PT10M
25863820549839;CDC;PT30M
25903617883496;CDC;PT30M
25607235845708;CDC;PT30M
25398986887654;CDC;PT30M
25389435559395;CDC;PT30M
25382199652555;CDC;PT30M
25346743789617;CDC;PT30M
25325470233940;CDC;PT30M
25325325605389;CDC;PT30M
25325036130995;CDC;PT30M
25319970877729;CDC;PT30M
25227930466394;CDC;PT30M
25107959458605;CDC;PT30M
24573805987492;CDC;PT30M
24362807477328;CDC;PT30M
24257452927767;CDC;PT30M
24109696040809;CDC;PT30M
23534442773910;CDC;PT30M
23177134456503;CDC;PT30M
22487264815651;CDC;PT30M
22336179399599;CDC;PT30M
22125036166647;CDC;PT30M
21533719212202;CDC;PT30M
21520549861603;CDC;PT30M
21504341400952;CDC;PT30M
21271779865967;CDC;PT30M
19742257475933;CDC;PT30M
19563820418902;CDC;PT30M
19555861003630;CDC;PT30M
19178147385670;CDC;PT30M
19100289334979;CDC;PT30M
17953979717942;CDC;PT30M
17597395039257;CDC;PT30M
17349493462875;CDC;PT30M
17110564364757;CDC;PT30M
16584659821120;CDC;PT30M
16159623610340;CDC;PT30M
16119536858702;CDC;PT30M
16114616417323;CDC;PT30M
16110998491001;CDC;PT30M
15271924637205;CDC;PT30M
15236468791352;CDC;PT30M
15233284996133;CDC;PT30M
14713603432356;CDC;PT30M
14634587525632;CDC;PT30M
14510709096122;CDC;PT30M
14483502121021;CDC;PT30M
14286396319802;CDC;PT30M
14274384904524;CDC;PT30M
14241968151814;CDC;PT30M
09770622240586;CDC;PT30M
09640520970737;CDC;PT30M
09388711920275;CDC;PT30M
09348914552625;CDC;PT30M
09153834975908;CDC;PT30M
06371490538830;CDC;PT30M
05637047707928;CDC;PT30M
05623588938814;CDC;PT30M
05182054955405;CDC;PT30M
04396237309522;CDC;PT30M
04359479014416;CDC;PT30M
02573661327597;CDC;PT30M
02334442830524;CDC;PT30M
02298697508980;CDC;PT30M
02214182323603;CDC;PT30M
02194790150700;CDC;PT30M
02183357337961;CDC;PT30M
02110709050804;CDC;PT30M
01519681574106;CDC;PT30M
01215339971071;CDC;PT30M
01128219940041;CDC;PT30M
25840810388904;CDC;PT30M
25430101267999;CDC;PT30M
25320839246799;CDC;PT30M
23593921799071;CDC;PT30M
22533863824409;CDC;PT30M
22301447177999;CDC;PT30M
21438205362313;CDC;PT30M
21111143193360;CDC;PT30M
14510709096122;CDC;PT30M
12418379131468;CDC;PT30M
09514327046078;CDC;PT30M
05653111429285;CDC;PT30M
02334442830524;CDC;PT30M
01234008582003;CDC;PT30M
25874963752126;CDC;PT10M
25864109985447;CDC;PT10M
25273661234893;CDC;PT10M
25260926145356;CDC;PT10M
25215774191599;CDC;PT10M
24331982560141;CDC;PT10M
24247322680120;CDC;PT10M
24149638183885;CDC;PT10M
19667293746574;CDC;PT10M
19629088256643;CDC;PT10M
19531837794660;CDC;PT10M
19528798708734;CDC;PT10M
19334153326514;CDC;PT10M
19323444281410;CDC;PT10M
19305933355579;CDC;PT10M
24243125817111;CDC;PT10M
19390303849822;CDC;PT10M
01151374713882;CDC;PT30M
01329811776189;CDC;PT30M
01346888552484;CDC;PT30M
01404486238814;CDC;PT30M
01447467329556;CDC;PT30M
01697105599473;CDC;PT30M
02128654012308;CDC;PT30M
02138060758728;CDC;PT30M
02196381952677;CDC;PT30M
02200868291586;CDC;PT30M
02226483322104;CDC;PT30M
02267293723854;CDC;PT30M
02435021679898;CDC;PT30M
04219102719878;CDC;PT30M
04506801726763;CDC;PT30M
05108683028485;CDC;PT30M
05148191016767;CDC;PT30M
06334442773257;CDC;PT30M
06344428256040;CDC;PT10M
06516931981950;CDC;PT30M
06599131646201;CDC;PT30M
07390882730506;CDC;PT30M
07418523873174;CDC;PT30M
07519536901474;CDC;PT30M
09106367510525;CDC;PT30M
09234008646004;CDC;PT30M
14346599068829;CDC;PT30M
14421852225956;CDC;PT30M
14460926142541;CDC;PT30M
14473371772728;CDC;PT30M
14519536816191;CDC;PT30M
14519536816191;CDC;PT30M
14568306779598;CDC;PT30M
14679739499370;CDC;PT30M
14765846543874;CDC;PT30M
14782199654570;CDC;PT30M
15129522396841;CDC;PT30M
15543125874257;CDC;PT30M
16157308129789;CDC;PT30M
16161939094541;CDC;PT30M
16185817653124;CDC;PT30M
16546454351901;CDC;PT30M
16546454351901;CDC;PT30M
17189290770110;CDC;PT30M
17284225740781;CDC;PT30M
17793632414015;CDC;PT30M
19101736556468;CDC;PT30M
19326193921245;CDC;PT30M
19349638131159;CDC;PT10M
19356584588293;CDC;PT10M
19357163459425;CDC;PT10M
19380463031715;CDC;PT10M
19509117118740;CDC;PT30M
19733429752488;CDC;PT30M
21104052059599;CDC;PT30M
21200434041956;CDC;PT30M
